"deviceId","date","time","locationStatus","latitude","longitude","mobileStatus","netType","roaming","downstreamBandwidth","upstreamBandwidth","rx","tx","asuLevel","cqi","dbm","level","rsrp","rsrq","rssi","rssnr","earfcn","band","frequency","ci","pci","tag","downlink","uplink","networkOperator","chipOperator","mcc","mnc","bluetoothStatus"
"70ca26565b6202ab","08/02/2023","11:14:32","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:33","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:34","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:35","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:36","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:37","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:38","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:39","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","358 B","490 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:40","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","551 B","583 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:41","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:42","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","180 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:43","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","200 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:44","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:45","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:46","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:47","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","80 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:48","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:49","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","180 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:50","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:51","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
