latitude,longitude,rsrp [dBm],rsrq,rssnr,cqi,weight,Unnamed: 7
-3.1447965,-58.4372828,-95,-14,-1,13,4,
-3.1447983,-58.4371996,-95,-14,-1,13,4,
-3.1448009,-58.43712,-95,-14,-1,13,4,
-3.1448028,-58.4370453,-95,-14,-1,13,4,
-3.1448024,-58.436973,-95,-14,-1,13,4,
-3.1447983,-58.4368446,-95,-14,-1,13,4,
-3.1447952,-58.4367908,-95,-14,-1,13,4,
-3.1447923,-58.4367429,-95,-14,-1,13,4,
-3.1447892,-58.4367009,-95,-14,-1,13,4,
-3.1447859,-58.4366667,-95,-14,-1,13,4,
-3.1447847,-58.4366368,-95,-14,-1,13,4,
-3.1447849,-58.4366118,-95,-14,-1,13,4,
-3.1447848,-58.436595,-95,-14,-1,13,4,
-3.1447821,-58.4365896,-95,-14,-1,13,5,
-3.1447815,-58.4365912,-103,-15,-1,6,5,
-3.1447813,-58.4365918,-103,-15,-1,6,5,
-3.1447812,-58.4365921,-103,-15,-1,6,5,
-3.1447811,-58.4365923,-103,-15,-1,6,5,
-3.144781,-58.4365925,-103,-15,-1,6,5,
-3.144781,-58.4365926,-103,-15,-1,6,5,
-3.144781,-58.4365926,-103,-15,-1,6,5,
-3.144781,-58.4365926,-103,-15,-1,6,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-101,-17,-1,5,5,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-86,-12,0,6,,
-3.144781,-58.4365926,-95,-12,-1,6,,
-3.144781,-58.4365926,-95,-12,-1,6,,
-3.144781,-58.4365926,-95,-12,-1,6,,
-3.144781,-58.4365926,-95,-12,-1,6,,
-3.144781,-58.4365926,-97,-15,-1,6,,
-3.144781,-58.4365926,-97,-15,-1,6,,
-3.144781,-58.4365926,-97,-15,-1,6,,
-3.144781,-58.4365926,-97,-15,-1,6,,
-3.144781,-58.4365926,-97,-15,-1,6,,
-3.1447822,-58.4365892,-94,-15,-1,6,,
-3.1447824,-58.4365831,-94,-15,-1,6,,
-3.1447811,-58.436575,-94,-15,-1,6,,
-3.1447726,-58.436563,-94,-15,-1,6,,
