"deviceId","date","time","level","health","connectionStatus","chargingStatus","temperature","current","voltage","power","capacity","presence"
"70ca26565b6202ab","08/02/2023","12:17:30","96","2","2","2","31.0","-0.555122","4.374","-2.428103628","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:31","96","2","2","2","31.0","-0.621041","4.374","-2.716433334","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:32","96","2","2","2","31.0","-0.393377","4.374","-1.720630998","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:33","96","2","2","2","31.0","-0.516669","4.374","-2.259910206","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:34","96","2","2","2","31.0","-0.383306","4.374","-1.676580444","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:35","96","2","2","2","31.0","-1.116043","4.374","-4.881572082","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:36","96","2","2","2","31.0","-1.066604","4.374","-4.665325896","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:37","96","2","2","2","31.0","-0.715952","4.374","-3.131574048","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:38","96","2","2","2","31.0","-0.436712","4.374","-1.910178288","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:39","96","2","2","2","31.0","-0.915234","4.374","-4.003233516","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:40","96","2","2","2","31.0","-0.948194","4.374","-4.147400556","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:41","96","2","2","2","31.0","-0.122682","4.374","-0.536611068","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:42","96","2","2","2","31.0","-0.044556","4.374","-0.194887944","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:43","96","2","2","2","31.0","-0.521552","4.374","-2.281268448","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:44","96","2","2","2","31.0","-0.135805","4.36","-0.5921098","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:45","96","2","2","2","31.0","-0.132448","4.36","-0.57747328","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:46","96","2","2","2","31.0","-0.044861","4.36","-0.19559396","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:47","96","2","2","2","31.0","-0.066834","4.36","-0.29139624","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:48","96","2","2","2","31.0","-0.050659","4.36","-0.22087324","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:49","96","2","2","2","31.0","-0.189211","4.36","-0.82495996","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:50","96","2","2","2","31.0","-0.053711","4.36","-0.23417996","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:42","96","2","2","2","31.0","-1.745019","4.36","-7.60828284","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:43","96","2","2","2","31.0","-0.331425","4.36","-1.445013","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:44","96","2","2","2","31.0","-0.167543","4.361","-0.730655023","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:45","96","2","2","2","31.0","-0.12848","4.361","-0.56030128","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:46","96","2","2","2","31.0","-0.07721","4.361","-0.33671281","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:47","96","2","2","2","31.0","-0.048218","4.361","-0.210278698","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:48","96","2","2","2","31.0","-0.155946","4.361","-0.680080506","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:49","96","2","2","2","31.0","-0.16968","4.361","-0.73997448","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:50","96","2","2","2","31.0","-0.184023","4.361","-0.802524303","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:51","96","2","2","2","31.0","0.082093","4.361","0.358007573","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:52","96","2","2","2","31.0","0.070801","4.361","0.308763161","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:53","96","2","2","2","31.0","0.108949","4.361","0.475126589","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:54","96","2","2","2","31.0","-0.020141","4.361","-0.087834901","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:55","96","2","2","2","31.0","-0.003662","4.361","-0.015969982","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:56","96","2","2","2","31.0","-0.110475","4.361","-0.481781475","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:57","96","2","2","2","31.0","-0.224002","4.361","-0.976872722","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:58","96","2","2","2","31.0","-0.005798","4.361","-0.025285078","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:18:59","96","2","2","2","31.0","0.0943","4.361","0.4112423","5138.0","present"
