"deviceId","date","time","locationStatus","latitude","longitude","mobileStatus","netType","roaming","downstreamBandwidth","upstreamBandwidth","rx","tx","asuLevel","cqi","dbm","level","rsrp [dBm]","rsrq","rssi [dBm]","rssnr","earfcn","band","frequency [MHz]","ci","pci","tag","downlink","uplink","networkOperator","chipOperator","mcc","mnc","bluetoothStatus"
"3d4c6129617d84c4","20/03/2023","18:05:21","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:22","1","0.0","0.0","1","4G","-1","30000","15000","72","72","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:23","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:24","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:25","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:26","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:27","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:28","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:29","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:30","1","0.0","0.0","1","4G","-1","30000","15000","103","72","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
