device_id,date,time,wifi_status,ssid,ip,signal_level,network_id,wifi_downstream_bandwidth,wifi_upstream_bandwidth,speed,tx_link_speed,rx_link_speed,max_tx_link_speed,max_rx_link_speed,frequency,standard,rssi,wap,mobile_status,mobile_mod,mobile_signal,mobile_roaming,mobile_downstream_bandwidth,mobile_upstream_bandwidth,mobile_rx,mobile_tx,network_operator,chip_operator,chip_mcc,chip_mnc,mobile_bandwidth,mobile_earfcn,mobileNetworkOperator,mobile_ci,mobile_pci,mobile_tac,bluetooth_status,name_bluetooth
3129cf83cba1f811,16/05/2022,14:32:58,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-56,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:59,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-56,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:00,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-57,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:01,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-57,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:03,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-57,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:04,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-58,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:05,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-58,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:06,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-58,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:07,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-63,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:08,1,"""TP-LINK_EBE6""",192.168.1.104,3,7,31256,25725,72,72,72,150,150,2417,4,-63,50:c7:bf:f7:eb:e6,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:09,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:10,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:11,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:12,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:13,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,1,4G,4,-1,30000,15000,2076,473,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:14,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,1,4G,4,-1,30000,15000,26994,7206,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:15,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,1,4G,4,-1,30000,15000,992,3245,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:16,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,1,4G,4,-1,30000,15000,1368,332,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:17,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,-31430,-14351,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:18,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:19,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:20,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:33:21,-1,-1,0.0.0.0,0,-1,-1,-1,-1,0,0,0,0,-1,0,-127,-1,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,2147483647,9510,72411,82402869,16,52292,0,moto g(10)
