"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","16/11/2021","20:02:27","enabled","119","automatic","22","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.431824","4.34","-1.87411616","6174.0","enabled","disabled","disabled","disabled","367156517","7799513","enabled","-55","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2205.0","3438.0","110,549MB","10,434MB","100,115MB","8","37.0","8395","7541","768.0","768.0","768.0","768.0","768.0","768.0","1555.2","1555.2"
"70a09b5174d07fff","16/11/2021","20:02:28","enabled","119","automatic","23","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.588684","4.34","-2.55488856","6174.0","enabled","disabled","disabled","disabled","367157267","7799513","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2208.0","3435.0","110,549MB","10,434MB","100,115MB","8","37.0","8397","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:02:31","enabled","119","automatic","24","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.502319","4.34","-2.18006446","6174.0","enabled","disabled","disabled","disabled","367157267","7799513","enabled","-53","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2196.0","3447.0","110,549MB","10,434MB","100,115MB","8","37.0","8399","7541","768.0","768.0","768.0","768.0","768.0","768.0","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:02:33","enabled","119","automatic","25","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.629883","4.34","-2.73369222","6174.0","enabled","disabled","disabled","disabled","367157267","7799513","enabled","-53","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2181.0","3462.0","110,549MB","10,434MB","100,115MB","8","37.0","8401","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:02:35","enabled","119","automatic","26","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.523987","4.34","-2.27410358","6174.0","enabled","disabled","disabled","disabled","367157733","7799513","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2182.0","3461.0","110,549MB","10,433MB","100,115MB","8","37.0","8403","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1843.2","1843.2"
"70a09b5174d07fff","16/11/2021","20:02:37","enabled","119","automatic","27","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.476379","4.34","-2.06748486","6174.0","enabled","disabled","disabled","disabled","367157733","7799513","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2185.0","3458.0","110,549MB","10,433MB","100,115MB","8","37.0","8405","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:02:39","enabled","119","automatic","28","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.565185","4.34","-2.4529029","6174.0","enabled","disabled","disabled","disabled","367158355","7799853","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2200.0","3443.0","110,549MB","10,433MB","100,115MB","8","37.0","8407","7541","1612.8","1612.8","1612.8","1612.8","1612.8","1612.8","1843.2","1843.2"
"70a09b5174d07fff","16/11/2021","20:02:40","enabled","119","automatic","29","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.664673","4.296","-2.855435208","6174.0","enabled","disabled","disabled","disabled","367158515","7799893","enabled","-52","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2203.0","3440.0","110,549MB","10,433MB","100,115MB","8","37.0","8408","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1843.2","1843.2"
"70a09b5174d07fff","16/11/2021","20:02:41","enabled","119","automatic","30","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.424499","4.296","-1.823647704","6174.0","enabled","disabled","disabled","disabled","367158515","7799893","enabled","-52","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2166.0","3477.0","110,549MB","10,433MB","100,116MB","8","37.0","8409","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","2169.6","2169.6"
"70a09b5174d07fff","16/11/2021","20:02:42","enabled","119","automatic","31","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.464172","4.296","-1.994082912","6174.0","enabled","disabled","disabled","disabled","367159811","7802485","enabled","-51","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2148.0","3495.0","110,549MB","10,433MB","100,116MB","8","37.0","8411","7541","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","1094.4","1094.4"
